,sample_id,num_shot,prompt,response,reflection_gpt,reflection_human,gpt_valid_reflection
551,93,8,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Smelling others' breath gives you pleasure. ,You don't like the smell of smoke.,0.0
473,15,8,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,Smoking makes you miss your bus. ,You saw how your health was affected by smoking.,1.0
474,16,8,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,You went out with friends. ,You had to smoke alone.,1.0
510,52,8,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When my daughter complained of her clothes smelling,Your worry about the smell of cigarettes worries you. ,You're worried how your daughter is affected by the smell of smoke.,0.0
568,110,8,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,Stress is an emotion. ,Thinking about your family stopped you from smoking.,0.0
565,107,8,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",You are concerned about how smoking affects your job performance. ,You don't like how others perceive your smoking.,0.0
508,50,8,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Your stress relieves you. ,Smoking helps you focus.,0.0
493,35,8,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,You are addicted to nicotine. ,Smoking helps you think.,1.0
584,126,8,Please describe a time where you had a compelling feeling to smoke but didn't end up smoking, When I had got off an airplane after a long journey.,Your flight was longer than usual. ,You wanted to smoke after a long journey.,0.0
571,113,8,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,Your ability to think clearly is impaired because of your inability to control your nicotine intake. ,Not smoking made you less focused.,1.0
553,95,8,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,You like having something in your hand. ,Smoking is a habit for you.,1.0
566,108,8,"I'm sorry, I don't understand; I am in the process of learning the different kinds of answers. Can you write in a different way Don't worry, I'll give you options if I can't get what you're saying", It relaxes my mind and body.,Relaxing your mind and body helps you think clearly. ,Smoking helps you relax.,1.0
582,124,8,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,Your efforts at helping others has been helpful. ,You do not want your kids to start smoking.,1.0
567,109,8,Please desccribe a situation where you thought about being a good role model and that cause you not to smoke, At a childrens birthday party I was detemined not to be seen as a smoker,You are concerned about how people view your smoking. ,You don't like being seen as a smoker.,1.0
491,33,8,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking,You enjoy being around smokers. ,Smoking helps you concentrate.,0.0
580,122,8,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,Distraction kept you from smoking. ,Keeping yourself distracted helped you to not smoke.,1.0
472,14,8,Please describe a time where you experienced stress and didn't end up smoking," When I am working, my job is quite stressful at times",Stressful situations make you want to quit smoking. ,You didn't smoke at work even when you were stressed.,0.0
480,22,8,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Your physical appearance affects others around you. ,Skin aging is a concern of smoking for you.,0.0
577,119,8,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,Nothing came to mind. ,You don't remember what helped you not smoke.,1.0
520,62,8,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.",Smoking causes people to avoid you. ,"The cost, health risks, price, and perception are bad things about smoking.",1.0
9,13,1,"From what I gather, it seems that you think Having something in my Hand is something good about smoking Please describe a time where you smoked because you enjoy the feeling of holding a cigarette", I get so much in the habit that i do find my hands getting very twitchy and it starts me feeling like i need another,It's hard for you to quit smoking now. Why don't you try using this method again?,Smoking is a habit for you.,0.0
14,18,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,"Your ability to stop smoking is related to your concentration level, which in turn depends on how much nicotine you are taking in. If you take too little nicotine, you will be unable to control your urge to smoke. On the other hand, if you take too much nicotine, you may become addicted to nicotine and lose all motivation to quit. The best way to determine whether you need more nicotine is to use an electronic cigarette (e-cigarette). Electronic cigarettes deliver nicotine through inhalation of vaporized liquid that contains no tobacco. They also contain flavorings such as fruit flavors, mints, menthol, and chocolate. E-cigarettes can help smokers who cannot quit because they find it difficult to focus while trying to hold their breath for long periods of time. However, e-cigarettes should only be used under medical supervision.",Not smoking made you less focused.,0.0
21,25,1,"Ok, so you associate Stress as something positive about smoking Please describe a time where you experienced stress and ended up smoking", It helps me centre my thoughts and helps me think things more clearly,Smoking is stressful for many reasons but also because it can cause your heart rate to increase which causes blood vessels to constrict causing chest pain. This can lead to an increased risk of developing lung cancer.,Smoking helps you focus.,0.0
27,31,1,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,Smoking is one of the most common causes for premature wrinkling and loss of facial features. It also increases risk of developing cancer.,Skin aging is a concern of smoking for you.,1.0
29,33,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, nothing really comes to mind sorry,"I think that's an excellent response!  I've been thinking about this question for some time now, but haven't had much luck coming up with any answers.  It seems like there are so many things we don't know about how our bodies react to nicotine.  What is the best way to approach this topic?",You don't remember what helped you not smoke.,1.0
31,35,1,Please describe a situation where you thought about being a good role model and that cause you not to smoke, i have really tried to stop i have focused on telling my daughter where i am wrong and why she should stay well away from smoking,Your concern is for the children who are watching you smoke. ,You do not want your kids to start smoking.,1.0
32,36,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, just distaction really and not staying too still,"It is important to be aware of what causes you to become addicted to cigarettes, so that you can avoid them.",Keeping yourself distracted helped you to not smoke.,1.0
37,41,1,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?," The feeling that i was doing completely wrong, at work or in a social setting",Your boss/teachers are forcing you to do things against your will. ,You don't like how others perceive your smoking.,0.0
38,42,1,Great! Okay. Let's now chat about the bad things about smoking What is it about smoking that makes it bad?," The smell, The health risks, The price. The feeling of smoking makes you outcast in some places.","I'm not sure what this means but let me try and explain it for you. Smoking has been around since before recorded history. It started as an alternative way to get high. People used tobacco because they didn't have access to other drugs such as alcohol or marijuana. They also smoked because it gave them a sense of control over their lives. Nowadays we know that smoking causes cancer, heart disease, emphysema, lung diseases, strokes, respiratory infections, and many more problems. We are all aware of these dangers so why do people continue to smoke? Why does anyone want to be associated with something that can kill them? If you're still interested in learning more about smoking then check out my book ""Smoking Kills"" which will help you understand the negative effects of smoking.","The cost, health risks, price, and perception are bad things about smoking.",0.0
44,48,1,"Let me see if I recall correctly, so you think of Stigma or shame as something bad about smoking Please express a time where you experienced social stigma but still ended up smoking", Out with friends. The only smoker. Had to go outside in the cold to smoke,Your experience was one of being out and about without any fear of judgment from other people. ,You had to smoke alone.,0.0
58,62,1,Please describe a time where you were with other smokers and you didn't smoked, I smelt the way my buddies smelt and I felt good not to be stinky,Your friends smell nice. ,You don't like the smell of smoke.,0.0
60,64,1,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,"You smoked because you felt like you could don'thing about it, or that there would be no consequence if you quit.",You saw how your health was affected by smoking.,0.0
66,70,1,Please describe a time where you experienced stress and didn’t end up smoking, I was in the waiting room of the emergency room and felt stressed but it was more important to stay with famioy,"Stress is an emotion that causes us to act out our emotions. When we are under stress, we tend to do things that make us feel better. We may eat junk food or drink alcohol because they help relieve some of the tension. But when we don't have enough energy to deal with the situation at hand, we turn to drugs and other substances for relief.",Thinking about your family stopped you from smoking.,0.0
