,prompt,response,generated_reflections_similar_primers,labels_similar_primers,generated_reflections_random_primers,human_label_random_primers
0,This first row contains information about the data. SEED = 100,Reflection Definition: Make a short statement about smoking that reflects the meaning of the Client:,"['reflection', 'num_shots', 'top_k', 'top_p', 'repetition_penalty', 'definition']",,"['reflection', 'num_shots', 'top_k', 'top_p', 'repetition_penalty', 'definition']",
1,"I appreciate you confirming my understanding OK, so smoking is pleasant and relaxing for you Are there other things that are good about smoking? If so, please tell me", It  gives me a nice sensation.,"[' Smoking is relaxing.', 6, 100, 0.6, 1.0, 0]",1,"[' Smokers feel better than non-smokers when they smoke.', 6, 100, 0.6, 1.0, 0]",0
2,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, at a friends house my clothes were all stinky they said I was embarrassed,"[' You were embarrassed about your own smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' Smelling like tobacco helps you relax.', 6, 100, 0.6, 1.0, 0]",0
3,"I get it, you think Nicotine dependence is both good and bad Please describe a time where you had a compelling feeling to smoke and actually smoked", All the time everyday all day ,"["" You don't want to smoke because you think it's bad for you."", 6, 100, 0.6, 1.0, 0]",0,"["" Smoking gave you an urge to smoke. It wasn't like you wanted to do it or anything."", 6, 100, 0.6, 1.0, 0]",0
4,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty,"[' Having a ratty mind helped you to stop smoking.', 6, 100, 0.6, 1.0, 0]",0,"["" To focus on what's important."", 6, 100, 0.6, 1.0, 0]",0
5,Please express a time where you experienced social stigma and didn't smoke, when we went out with friends that didnt smoke and they hate the smell for them we held off till later,"["" You don't want others to judge your smoking habits."", 6, 100, 0.6, 1.0, 0]",1,"["" You don't want people to judge you based on their perception of your appearance or smell."", 6, 100, 0.6, 1.0, 0]",0
6,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It can give you all sorts of diseases such as lung cancer.,"["" You're worried about your health."", 6, 100, 0.6, 1.0, 0]",1,"[' Lung Cancer is one of the most common causes of death in this country.', 6, 100, 0.6, 1.0, 0]",0
7,"I appreciate you confirming my understanding I see, you don't like the smell of cigarettes Do you have more negative things about smoking? Tell me if you can think of any", it is harming others by second hand smoke,"[' It is harmful to others by second hand smoke', 6, 100, 0.6, 1.0, 0]",1,"[' This is why you avoid smoking indoors.', 6, 100, 0.6, 1.0, 0]",0
8,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking,"["" You're worried about the effect of smoking on your appearance."", 6, 100, 0.6, 1.0, 0]",1,"[' Smoking can cause wrinkles.', 6, 100, 0.6, 1.0, 0]",0
9,What is it about smoking that makes it good?, It relaxes me and gives me a sense of pleasure. ,"[' Smoking is good for you.', 6, 100, 0.6, 1.0, 0]",0,"[' The cost of smoking is a concern for you.', 6, 100, 0.6, 1.0, 0]",1
10,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was proud and not disappointed in myself. ,"[' You were proud of yourself for not smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' Relaxing you and giving you a feeling of pleasure are two very important aspects of smoking.', 6, 100, 0.6, 1.0, 0]",1
11,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus,"[' Smoking helped you to think about the consequences of smoking.', 6, 100, 0.6, 1.0, 0]",0,"[' Being proud of yourself helps you not to smoke.', 6, 100, 0.6, 1.0, 0]",1
12,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had no release from the tension so ended up buying chewing gum,"[' Having a release from the tension helped you to stop smoking.', 6, 100, 0.6, 1.0, 0]",1,"[' Running helps keep you fit.', 6, 100, 0.6, 1.0, 0]",0
