,sample_id,num_shot,prompt,response,reflection_gpt,reflection_human,gpt_valid_reflection
0,7,4,"Let me see if I recall correctly, so you think of Smell as something bad about smoking Please describe a time where you were worried about the smell of cigarettes but ended up smoking", I worry when working in a school that the teachers and pupils think I smell of smoke,Smoking can be distracting during class. It also causes other problems such as headaches and nausea.,You're worried how the smell of smoke affects those around you.,1
1,8,4,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, When I was saving up to go abroad it was a real intensive not to smoke. ,Saving money can be a good thing. It helps you save more money later.,Having a goal helped you to smoke less.,1
2,9,4,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had more of a positive and determined attitude. ,Positive and determined attitudes make it easier to resist temptation.,Feeling positive and determined helped you to not smoke.,1
3,10,4,"Ok, so you associate Routine as something positive about smoking Please describe a time where you smoked routinely without thinking about it", i read a awful lot and have got into the habbit of reading my book outside with a cup of tea.  This i think is the worst thing as i associate it as the habit of doing all together,Smoking habits can be good or bad depending upon how often they occur.,Smoking is part of a routine for you.,1
4,11,4,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", i am a mother i never smoke in front of my daughter i go outside and never smoke in front of her,Smoking can affect how others view you. It also impacts your ability to influence them.,You're worried about how others will learn from your smoking.,1
5,12,4,"Thank you for confirming my understanding I see, you think that cigarettes are expensive I would like to know more about your reasoning, is it possible to use more words in your sentences What else do you find negative about smoking?", the sheer price now is becoming very hard to pay,"Smoking costs money. It also takes away from other activities you might want to pursue. For example, you can't go skiing because you have to buy skis. Or you don't get to play golf anymore because you need to purchase clubs.",The cost of smoking is a concern for you.,0
6,13,4,Please describe a time where you smoked routinely without thinking about it, When I've got a lot on my mind I feel as if it gives me the go ahead to smoke. I don't even know how many I smoke during these periods.,Smoking helps you focus on what matters most. It also allows you to be more productive because you're focused on one thing instead of multiple tasks.,Smoking helps you think.,0
7,14,4,Please describe a time where you missed your routinely smoke, When I have none left at night time and the shop is shut. I feel as if I wont be able to cope. I certainly don't sleep well.,Smoking can affect how much you enjoy life. It also impacts your ability to function normally.,Not smoking makes you agitated.,1
8,15,4,Please describe a time where you wanted to distract yourself and did without smoking, Most of the time I distract myself with smoking honestly. If I'm at church or somewhere similar where it is not allowed I will find something to read or clean while I wait for an opportunity to take a smoke break.,Smoking helps you focus on what matters most. It also allows you to be more present during times when you need to be focused.,You use smoking to distract yourself.,0
9,16,4,Please describe a time where you were worried about the smell of cigarettes and you didn't smoke, When I was going to my doctor. I refrained from smoking on the way so she wouldn't smell it and be reminded to lecture me about smoking.,Smoking can make you feel uncomfortable because of its odor. It also causes other problems such as coughing and throat irritation.,You don't want others to judge your smoking habits.,0
