,prompt,response,perm_012543,perm_012354,perm_120345,perm_201345,perm_543210,perm_305142
0,This first row contains information about the data. SEED = 100,Reflection Definition: Make a short statement about smoking that reflects the meaning of the Client:,,,,,,
1,"I appreciate you confirming my understanding OK, so smoking is pleasant and relaxing for you Are there other things that are good about smoking? If so, please tell me", It  gives me a nice sensation., I think it is a good thing to have a good feeling for the environment., I think it is a good thing to have a good feeling for the environment., I think it is a good habit to have., I think it is a good habit to have., I think it is a good thing to have a good feeling for it., I think it is a good thing to have a good feeling for the things that are good about smoking.
2,Please describe a time where you were worried about the smell of cigarettes but ended up smoking, at a friends house my clothes were all stinky they said I was embarrassed, I was worried about the smell of cigarettes but I didn't smoke, I was worried about the smell of cigarettes but I didn't smoke, I was worried about the smell of cigarettes but ended up smoking, I was worried about the smell of cigarettes but I didn't smoke, I was worried about the smell of cigarettes but I didn't smoke, I was worried about my health and my health was not good.
3,"I get it, you think Nicotine dependence is both good and bad Please describe a time where you had a compelling feeling to smoke and actually smoked", All the time everyday all day , I think it's a good thing to smoke., I think it's a good habit to have., I think it's a good thing to smoke., I think it's a good thing to smoke., I think it's good to smoke., I think it's a good thing to smoke.
4,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, i wasnt able to concentrate and was very ratty, I was able to concentrate on my work and not smoke., thinking about the cost of smoking helped me to not smoke., I was able to concentrate on my work and not smoke., I was able to concentrate on my work and not smoke., thinking about the bad effects of smoking helped you to stop., thinking about the bad effects of smoking helped you to stop.
5,Please express a time where you experienced social stigma and didn't smoke, when we went out with friends that didnt smoke and they hate the smell for them we held off till later, When we were in a pub with a group of friends smoking, When we were in a pub smoking, When I was in a pub with a group of friends smoking, When I was in a pub with a group of friends smoking cigarettes, I don't smoke because I don't want to be judged., I don't smoke because I don't want others to judge my smoking habits.
6,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It can give you all sorts of diseases such as lung cancer., I think that smoking is a bad thing., I think that smoking is a bad thing., I think that smoking is bad for your health., I think that smoking is something that you think about., I think that smoking is something that you think about., I think that smoking is a bad thing.
7,"I appreciate you confirming my understanding I see, you don't like the smell of cigarettes Do you have more negative things about smoking? Tell me if you can think of any", it is harming others by second hand smoke, I think it is harmful to others by second hand smoke, I don't like the smell of cigarettes, I think it is harmful to others by second hand smoke., I don't like the smell of cigarettes, I think it is harming others by second hand smoke, I don't like the smell of cigarettes
8,"Let me see if I recall correctly, so you think of Physical appearance as something bad about smoking Please describe a time where you thought about the effect of smoking on your appearance but ended up smoking", i worry about my skin aging faster due to smoking, I worry about my skin aging faster due to smoking, I worry about my skin aging faster due to smoking, I worry about my skin aging faster due to smoking, I worry about my skin aging faster due to smoking, I worry about my skin aging faster due to smoking, I worry about my skin aging faster due to smoking
9,What is it about smoking that makes it good?, It relaxes me and gives me a sense of pleasure. , I think it is a good thing for me to smoke., I think it's because I smoke., I think it is a good thing to smoke., I think it's because I smoke., I think it helps me to think about the bad things that smoking does., I think it is a good thing to smoke.
10,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I was proud and not disappointed in myself. , I was not happy with myself. , I was not happy with myself. , I was not happy with myself. , I was not happy with myself. , thinking about the bad effects of smoking helped you to stop., I was not happy with myself. 
11,Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking, I had a hard time running but still continued to smoke anyhow and missed my bus, I was worried about the smell of cigarettes and I didn't smoke., I was worried about the smell of cigarettes and I didn't smoke., I thought about my own health and the consequences of smoking, I thought about my own health and I thought about my own smoking., I was so worried about my health that I didn't smoke, I was able to quit smoking and I was able to quit smoking again.
12,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, I had no release from the tension so ended up buying chewing gum, I was able to keep myself from smoking, I was able to avoid smoking because I was able to avoid smoking., I had no release from the tension so ended up buying chewing gum, I had no release from the tension so ended up buying chewing gum, I had no release from the tension so ended up buying chewing gum, I had no release from the tension so ended up buying chewing gum
13,"Thank you for confirming my understanding OK, so you smoke when people around you are smoking Do you have more negative things about smoking? Tell me if you can think of any", It can make you a social outcast., I think that smoking is a social outcast., I think that smoking is a social outcast., I think it's a social outcast., I think it makes me a social outcast., I think it's a good thing to be able to talk about it., I think it's a good thing to be a social outcast.
14,"Let me see if I recall correctly, so you think of Poor role model as something bad about smoking Please describe a situation where you thought about wanting to be a good role model but ended up smoking", My children moaned at me as they thought I would get ill from smoking but I smoked anyway, I was worried about my health and I thought about my own health, I was worried about my health and I thought about my own health, I was worried about my health and I thought about my own health, I was worried about my health and I thought about my own health, I think that smoking is bad for your children, I was worried about how others would learn from my smoking.
15,"Sorry, I didn't understand what you said. Can you write it in a different way I'm trying to learn what you say, I'll give you options if I can't figure it out", I like to socialise with other people who smoke., I like to socialise with other people who smoke., I like to socialise with other people who smoke., I like to socialise with other people who smoke., I like to socialise with other people who smoke., I like to socialise with other people who smoke., I like to socialise with other people who smoke.
16,Please describe a time where you thought about the cost of smoking and it prevented it you from smoking a cigarette, I had to eat instead with my money so I went with out, I was worried about the smell of cigarettes and I didn't smoke, I was able to avoid smoking because I was able to avoid the cost of smoking., I thought about the cost of smoking and it prevented it I was not able to smoke, I thought about the cost of smoking and it prevented it I was not able to smoke, I had to eat with my money so I went with out, I thought about the cost of smoking and it prevented it I was able to smoke
17,"Okay, so you associate Health as something negative about smoking Please describe a time where you contemplated the consequences of smoking on your health and ended up smoking", When I had a pain in my chest, I thought about my own health and I thought about my own smoking., I thought about my own health and I thought about my own smoking., I thought about my own health, I thought about my own health, I thought about my own health, I thought about my own health and I thought about my own smoking.
18,"Let me see if I understand, you want to be a good role model for the people close to you Do you have more negative things about smoking? Tell me if you can think of any", Aging or appearance change is always a fear, I think that smoking is a fear., I think that smoking is a fear., I think that smoking is a fear, I think that smoking is a fear., I think that smoking is a fear, I think that smoking is a fear
19,Please describe a time where you wanted to feel good and didn't get that through smoking, Most of the time to be honest!, I was able to get through smoking without smoking., I don't smoke. , I don't smoke. , I don't smoke. , I was able to get through smoking without feeling bad., I was able to get through smoking without smoking.
20,Think back to the time when you were able to prevent yourself from smoking. What made it different from when you did smoke?, Will power and nicotine  replacement chewing gum., Will power and nicotine  replacement chewing gum., Will power and nicotine  replacement chewing gum., Will power and nicotine  replacement chewing gum., Will power and nicotine  replacement chewing gum., Will power and nicotine  replacement chewing gum., Will power and nicotine  replacement chewing gum.
21,"Okay, so you associate Stigma or shame as something negative about smoking Please express a time where you experienced social stigma but still ended up smoking"," I think its a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas"," I think it is a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas"," I think it is a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas"," I think it is a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas"," I think it is a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas"," I think it is a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas"," I think it is a general for any smoker smoking outside now, i dont think it is looked at as good and you do get looks for smoking even in smoking areas"
22,"I see, you want to be a good role model for the people close to you What else do you find negative about smoking?", Nicotine stains on furniture and walls are not nice, I don't like smoking, I don't like smoking, I don't like to smoke, I don't like smoking, I don't like smoking, I don't like smoking
23,"I see, you get pleasure from smoking What else do you find positive about smoking?", I can concentrate more if I am smoking, I can concentrate more if I am smoking, I can concentrate more if I am smoking, I can concentrate more if I am smoking, I can concentrate more if I am smoking., I can think more about the things that I am smoking, I can concentrate more if I am smoking
24,"I appreciate you confirming my understanding I understand, you like the flavour of cigarettes I would like to know more about your reasoning, is it possible to use more words in your sentences Are there other things that are good about smoking? If so, please tell me", It helps me feel less stressed., I think it helps me feel less stressed., I think it helps me feel less stressed., I think it helps me feel more relaxed., I think it helps me feel less stressed., I think it helps me feel less stressed., I think it helps me feel more relaxed.
25,Please describe a time where you experienced stress and didn't end up smoking, when i couldnt smoke like when i was in public i do sometimes get anxious in large crowds but of course it wouldnt be right to smoke in public, I smoke because I want to smoke., Smoking helped me relax and get out of my mind., I smoke a lot of cigars and I smoke a lot of cigars., I smoke because I want to smoke., I smoked when I was in a group of friends. I was in a group of friends and I smoked., I smoke because I want to smoke.
26,"I appreciate you confirming my understanding I see, you are concerned about your health Do you have more negative things about smoking? Tell me if you can think of any", It makes your clothes and hair smell., I think that it's a bad thing to wear clothes that are too long., I think that it makes my hair smell., I think that it's a bad thing to wear clothes that are too long., I think that it makes your clothes and hair smell., I don't want to smell my clothes or hair., I think that it makes my hair smell.
